"School Name","State","Transaction Type","Country","Gift Contract/Amount","Gift/Start Date","Details"
"Alfred University","NY","Gift","SAUDI ARABIA","1,618,155","06/30/2020","More Details"
"Alfred University","NY","Gift","SAUDI ARABIA","1,476,893","11/16/2020","More Details"
"Alfred University","NY","Gift","KUWAIT","34,764","12/02/2020","More Details"
"Alfred University","NY","Gift","SAUDI ARABIA","1,729,536","06/30/2021","More Details"
"Alfred University","NY","Gift","KUWAIT","39,519","03/22/2021","More Details"
"Alfred University","NY","Gift","SAUDI ARABIA","1,001,618","12/09/2021","More Details"
"Alfred University","NY","Gift","KUWAIT","21,692","12/16/2021","More Details"
"Alfred University","NY","Gift","SAUDI ARABIA","760,251","06/23/2022","More Details"
"Alfred University","NY","Gift","KUWAIT","990","01/10/2022","More Details"
"Alfred University","NY","Gift","SAUDI ARABIA","139,135","12/15/2022","More Details"
