Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029]
Afghanistan,AFG,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2259000,..,..,..,..,..,..,..,..,..,..,..,..,66038333.3,63456333.3,60875333.3,57548333.3,54981333.3,52414333.3,49847333.3,47280333.3
Afghanistan,AFG,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1301000,7434000,2506000,2478000,3141000,2765000,3079000,2696000,2340000,1880000,2061000,2374000,2565000,2819000,3144000,3576000,4079000,4580000,5066000,5399000,2874000,..,..,..,..,..,..,..,..
Albania,ALB,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57000,1401000,4677000,4560000,4442000,4325000,4211000,4091000,3974000,3857000,3741000,3622000,3505000,3388000,..,..,..,..,..,0,..,..,..,..,..,..,..,..
Albania,ALB,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91990.3,91049.2,460420.9,122863.8,222760,477678.3,447393.4,501168.3,1655451.6,2318162.5,3337099.4,4097034.6,4423107.6,4815163,5262188.1,5747352.3,5502682,4430984.4,4095786.7,3569293,3729449.8,3851992.2,7219743.4,7256997.7,7334897.4,7056465.4,6899604,6847069.2,6323472.3,5440887.5,5011853.3,3656455.4,3638943.8,3612676.4
Algeria,DZA,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,33355152.4,37363542.6,32301388.5,34731520.8,32423321.3,33184132,36321696,38672801,38456497.6,35731810,33025416.6,32400814.1,68277145.3,53152712.7,37632861.7,42631789.1,52720126.5,43008348,43550842.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1121539.3,3242878.6,1022211.1,1329461.9,45842017.7,83273348.2,95339929.6,51351838.6,116721365.9,105714561.4,56655804.1,59355672.3,52719822.9,43623804.6,36368383.6,27629019.9,18737296.5,10007897.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,4421000,5391000,13532544.7,33922443.5,132525382.8,31419566.6,65767705.5,81756029.1,110087121.9,220469387.8,329181498.8,325257879.9,393908000,440476000,474845000,353263000,335333596.7,283792837.9,409462573.7,742649688.9,966423985.4,965828991.5,932431893.5,950694741.2,499057285.1,314809743.8,429352146.6,413809175,470874282,444458469.9,329732960.6,282504755.9,315388000,350808000,314314000,299854000,1564480000,63541000,61262000,58284000,55090000,52118000,48792000,57303000,40831000,38894000,36538000,34164000,16391000,..,..,..,..,..,..,..,..,..,..,..
Algeria,DZA,China,730,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,4444471.3,3148946.3,12016061.7,0,2418261.1,68240.9,47869.1,37664.9,2130818.7,2762000,5426240.2,5928190.2,2535000,2364000,2277000,1102000,172720.1,6624688.8,2969887,4495326.7,3926824,4296796.6,5114923.6,4999730.2,1288176.7,6636529,..,1342919.4,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..
Algeria,DZA,Japan,701,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,9995000,9614000,14603000,19811371.5,73475323,80597616,119447578,202302534.6,305903993.5,452772267.5,496215553.9,591364574.4,645270154.3,682959637.9,884789191.6,1012503474,1015946480,756424108,674339633.3,813926150.9,901051270.8,1022274098,420671898.8,285807782.2,300667174.8,255379894.8,326122125.7,457665521.6,440088800.6,375249836.4,340494254.9,352174444.2,508316145.4,652912740.9,575451813.2,66980565.5,67772485.9,39281029.8,37816982.2,114766634.7,1416407.9,1025690.8,936450.1,933634.4,755098.5,847046.3,860571.7,853224.8,861827,829636.1,1229703.6,1229703.6,1220947.8,1203436.2,1185924.6,1168413,1150901.4,1133389.8
Angola,AGO,USSR,078,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3144000,3574672.6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Russian Federation,087,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1408046.3,189000,..,..,..,..,..,418529223.9,426143000,213433000,1017479000,4805851.8,..,7465101.3,1075000,6000000,7255000,15046000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,United States,302,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42618000,36867000,32461000,23108000,15110000,10579000,14191000,1581000,529000,920000,535000,49000,8715000,5145000,..,220246000,6686000,15106000,16307000,21715000,15663000,8338000,2742000,24237000,46406000,50081000,67196000,314339000,43501788.6,164357000,178938000,151974000,142342000,116814907,110306907,101735907,2602545.1,1289933.3,589333.3,579333.3,568333.3
